"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"VRI_DRAAGCONSTRUCTIE_PORTAAL","*","_","**","_","IW","_","VRI","_","DRAAGCONSTRUCTIE","_","PORTAAL","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_DRAAGCONSTRUCTIE_PORTAAL","0.18","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","V-CONTINUOUS-SO","0.35","160","162","7","7","253","CONTINUOUS","","","3506","2645","http://digitalbuildingdata.tech/nlcs/def/38e31490-89f7-43a9-80b1-f91fedd8087e","http://digitalbuildingdata.tech/nlcs/def/2fa8bd64-183c-48c8-99d2-4531bd89d2cf"
"VRI_DRAAGCONSTRUCTIE_PAAL","*","_","**","_","IW","_","VRI","_","DRAAGCONSTRUCTIE","_","PAAL","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_DRAAGCONSTRUCTIE_PAAL","0.18","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","V-CONTINUOUS-SO","0.35","160","162","7","7","253","CONTINUOUS","","","3505","2645","http://digitalbuildingdata.tech/nlcs/def/512ebe24-9267-47fc-a32c-fd386ea943ab","http://digitalbuildingdata.tech/nlcs/def/2fa8bd64-183c-48c8-99d2-4531bd89d2cf"
"TRAMSIGNALERING_PAAL","*","_","**","_","IW","_","TRAMSIGNALERING","_","PAAL","_","","_","","_","","_","","'-","","'-","G/S","'-","","SIW-TRAMSIGNALERING_PAAL-SO; V-SIW-TRAMSIGNALERING_PAAL-SO","*_**_IW_TRAMSIGNALERING_PAAL","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","3353","3352","http://digitalbuildingdata.tech/nlcs/def/cc43906a-bd4d-4a4d-a8fe-72d2b51a9625","http://digitalbuildingdata.tech/nlcs/def/1ff36128-fddc-41ee-b1ea-212f670d1e79"
"VRI_POLLER","*","_","**","_","IW","_","VRI","_","POLLER","_","","_","","_","","_","","'-","","'-","G/S","'-","","SIW-POLLER","*_**_IW_VRI_POLLER","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","3355","2644","http://digitalbuildingdata.tech/nlcs/def/5ed7c9a6-87a8-49da-a449-58d474dd94d4","http://digitalbuildingdata.tech/nlcs/def/f5204748-297e-4be3-8e2f-dc9c087ced89"
"TRAMSIGNALERING_PORTAAL","*","_","**","_","IW","_","TRAMSIGNALERING","_","PORTAAL","_","","_","","_","","_","","'-","","'-","G/S","'-","","SIW-TRAMSIGNALERING_DRAAGCONSTRUCTIE_PORTAAL-SO; V-SIW-TRAMSIGNALERING_DRAAGCONSTRUCTIE_PORTAAL-SO","*_**_IW_TRAMSIGNALERING_PORTAAL","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","3354","3352","http://digitalbuildingdata.tech/nlcs/def/f06f5f5c-859b-4c76-a58e-89f73b5a14ec","http://digitalbuildingdata.tech/nlcs/def/1ff36128-fddc-41ee-b1ea-212f670d1e79"
"VS_DRAAGCONSTRUCTIE","*","_","**","_","IW","_","VS","_","DRAAGCONSTRUCTIE","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_VS_DRAAGCONSTRUCTIE","0.18","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","V-CONTINUOUS-SO","0.35","160","162","7","7","253","CONTINUOUS","","","2647","2646","http://digitalbuildingdata.tech/nlcs/def/ad718c51-924f-409c-a0be-f1876e78efa7","http://digitalbuildingdata.tech/nlcs/def/43a3d930-fb03-4a2c-aa0d-7a7533bd8f00"
"VRI_DRAAGCONSTRUCTIE","*","_","**","_","IW","_","VRI","_","DRAAGCONSTRUCTIE","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_VRI_DRAAGCONSTRUCTIE","0.18","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","V-CONTINUOUS-SO","0.35","160","162","7","7","253","CONTINUOUS","","","2645","2644","http://digitalbuildingdata.tech/nlcs/def/2fa8bd64-183c-48c8-99d2-4531bd89d2cf","http://digitalbuildingdata.tech/nlcs/def/f5204748-297e-4be3-8e2f-dc9c087ced89"
"TDI_DRAAGCONSTRUCTIE","*","_","**","_","IW","_","TDI","_","DRAAGCONSTRUCTIE","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_TDI_DRAAGCONSTRUCTIE","0.18","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","V-CONTINUOUS-SO","0.35","160","162","7","7","253","CONTINUOUS","","","2643","2642","http://digitalbuildingdata.tech/nlcs/def/c7ca4e6d-cd60-4b7e-a184-24f2568fdf06","http://digitalbuildingdata.tech/nlcs/def/33cf95ba-76c3-4298-b78e-da9499b7096e"
"DRIP_DRAAGCONSTRUCTIE","*","_","**","_","IW","_","DRIP","_","DRAAGCONSTRUCTIE","_","","_","","_","","_","","'-","","'-","G","'-","","","*_**_IW_DRIP_DRAAGCONSTRUCTIE","0.18","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","CONTINUOUS","0.35","160","162","7","7","253","V-CONTINUOUS-SO","0.35","160","162","7","7","253","CONTINUOUS","","","2649","2648","http://digitalbuildingdata.tech/nlcs/def/5deb2ea7-94d6-482f-bc04-0ab96faae4e3","http://digitalbuildingdata.tech/nlcs/def/c165180f-31f9-4a8c-9ec3-f6508a37814c"
"TRAMSIGNALERING","*","_","**","_","IW","_","TRAMSIGNALERING","_","","_","","_","","_","","_","","'-","","'-","G/S","'-","","SIW-TRAMSIGNALERING","*_**_IW_TRAMSIGNALERING","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","253","V-CONTINUOUS-SO","0.35","7","7","7","7","253","CONTINUOUS","","","3352","","http://digitalbuildingdata.tech/nlcs/def/1ff36128-fddc-41ee-b1ea-212f670d1e79",""
