"omschrijving","status","underscore","discipline","underscore2","hoofdgroep","underscore3","object","underscore4","subobject01","underscore5","subobject02","underscore6","subobject03","underscore7","subobject04","underscore8","subobject05","streepje","bewerking","streepje3","element","streepje2","aobject","sobject","laagnaam","lw_b","kl_b","kl_b_a","kl_b_gd","kl_b_gn","kl_b_v","lt_b","lw_n","kl_n","kl_n_a","kl_n_gd","kl_n_gn","kl_n_v","lt_n","lw_v","kl_v","kl_v_a","kl_v_gd","kl_v_gn","kl_v_v","lt_v","lw_t","kl_t","kl_t_a","kl_t_gd","kl_t_gn","kl_t_v","lt_t","vrkl_kort","vrkl_lang","id_nummer","kind_van","objectURI","kind_vanURI"
"MEUBILAIR_WEGMEUBILAIR_SPEELTOESTEL_VALZONE","*","_","**","_","IE","_","MEUBILAIR","_","WEGMEUBILAIR","_","SPEELTOESTEL","_","VALZONE","_","","_","","'-","","'-","G/A","'-","AIE-SPEELTOESTEL_VALZONE-SO","","*_**_IE_MEUBILAIR_WEGMEUBILAIR_SPEELTOESTEL_VALZONE","0.18","7","7","7","7","253","CONTINUOUS","0.35","7","7","7","7","7","CONTINUOUS","0.35","7","7","7","7","7","V-CONTINUOUS-SO","0.35","7","7","7","7","7","CONTINUOUS","","","3104","3398","http://digitalbuildingdata.tech/nlcs/def/a6c41785-65f2-4cdf-ac89-de9180e1ca80","http://digitalbuildingdata.tech/nlcs/def/42a42f0f-21e8-4861-8961-f2fe84572a2f"
"CONSTRUCTIEVE AFSCHEIDING_HEKWERK_GAASHEKWERK_LAAG","*","_","**","_","IE","_","CONSTRUCTIEVE AFSCHEIDING","_","HEKWERK","_","GAASHEKWERK","_","LAAG","_","","_","","'-","","'-","G","'-","","","*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_GAASHEKWERK_LAAG","0.18","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","","","4423","6009","http://digitalbuildingdata.tech/nlcs/def/27cdde01-2260-433d-a90d-8fbb8a9ed2d1","http://digitalbuildingdata.tech/nlcs/def/4ce85fb9-9442-41ad-9777-f87d5f6ae37f"
"CONSTRUCTIEVE AFSCHEIDING_HEKWERK_SPIJLENHEKWERK_HOOG","*","_","**","_","IE","_","CONSTRUCTIEVE AFSCHEIDING","_","HEKWERK","_","SPIJLENHEKWERK","_","HOOG","_","","_","","'-","","'-","G","'-","","","*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_SPIJLENHEKWERK_HOOG","0.18","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","","","4442","4441","http://digitalbuildingdata.tech/nlcs/def/7207af55-07de-4a4c-9ebb-3acc40c62280","http://digitalbuildingdata.tech/nlcs/def/839015ee-c0fa-44ec-9996-14b7d627c720"
"CONSTRUCTIEVE AFSCHEIDING_HEKWERK_STAAFMATHEKWERK_HOOG","*","_","**","_","IE","_","CONSTRUCTIEVE AFSCHEIDING","_","HEKWERK","_","STAAFMATHEKWERK","_","HOOG","_","","_","","'-","","'-","G","'-","","","*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_STAAFMATHEKWERK_HOOG","0.18","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","","","4445","4444","http://digitalbuildingdata.tech/nlcs/def/1d5226a8-822e-4f78-ab66-9ca30f6bea3e","http://digitalbuildingdata.tech/nlcs/def/477a1d3a-67ae-4ec7-be36-a97e92570c08"
"CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BALLENVANGER_LAAG","*","_","**","_","IE","_","CONSTRUCTIEVE AFSCHEIDING","_","HEKWERK","_","BALLENVANGER","_","LAAG","_","","_","","'-","","'-","G","'-","","","*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BALLENVANGER_LAAG","0.18","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","","","4418","6006","http://digitalbuildingdata.tech/nlcs/def/68daefb7-3116-40b9-be7f-715af57401e9","http://digitalbuildingdata.tech/nlcs/def/ce725788-6389-4ac9-9be2-0312e4ad6a32"
"CONSTRUCTIEVE AFSCHEIDING_HEKWERK_RASTERHEKWERK_LAAG","*","_","**","_","IE","_","CONSTRUCTIEVE AFSCHEIDING","_","HEKWERK","_","RASTERHEKWERK","_","LAAG","_","","_","","'-","","'-","G","'-","","","*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_RASTERHEKWERK_LAAG","0.18","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","","","4437","4435","http://digitalbuildingdata.tech/nlcs/def/50309d3e-72b0-4c7d-9686-987f80d5f1fc","http://digitalbuildingdata.tech/nlcs/def/18a89e28-4bea-4823-91bf-e0bcbd517037"
"CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BUISHEKWERK_HOOG","*","_","**","_","IE","_","CONSTRUCTIEVE AFSCHEIDING","_","HEKWERK","_","BUISHEKWERK","_","HOOG","_","","_","","'-","","'-","G","'-","","","*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_BUISHEKWERK_HOOG","0.18","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","","","4420","4419","http://digitalbuildingdata.tech/nlcs/def/45c6b189-b561-4aca-9d4c-b0c66ecae47b","http://digitalbuildingdata.tech/nlcs/def/4d09542d-3972-464a-9ba8-a7f5ff487ea0"
"CONSTRUCTIEVE AFSCHEIDING_HEKWERK_RASTERHEKWERK_HOOG","*","_","**","_","IE","_","CONSTRUCTIEVE AFSCHEIDING","_","HEKWERK","_","RASTERHEKWERK","_","HOOG","_","","_","","'-","","'-","G","'-","","","*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_RASTERHEKWERK_HOOG","0.18","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","","","4436","4435","http://digitalbuildingdata.tech/nlcs/def/b8ed2270-e136-40d2-9c38-5db3c311e358","http://digitalbuildingdata.tech/nlcs/def/18a89e28-4bea-4823-91bf-e0bcbd517037"
"CONSTRUCTIEVE AFSCHEIDING_HEKWERK_GAASHEKWERK_HOOG","*","_","**","_","IE","_","CONSTRUCTIEVE AFSCHEIDING","_","HEKWERK","_","GAASHEKWERK","_","HOOG","_","","_","","'-","","'-","G","'-","","","*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_GAASHEKWERK_HOOG","0.18","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","","","4422","6009","http://digitalbuildingdata.tech/nlcs/def/88162bbc-93dd-4bab-80fd-a846aea9d280","http://digitalbuildingdata.tech/nlcs/def/4ce85fb9-9442-41ad-9777-f87d5f6ae37f"
"CONSTRUCTIEVE AFSCHEIDING_HEKWERK_LEUNHEKWERK_LAAG","*","_","**","_","IE","_","CONSTRUCTIEVE AFSCHEIDING","_","HEKWERK","_","LEUNHEKWERK","_","LAAG","_","","_","","'-","","'-","G","'-","","","*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_LEUNHEKWERK_LAAG","0.18","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","","","4434","4432","http://digitalbuildingdata.tech/nlcs/def/52e6fe3d-0d49-4a1c-b241-66b9c5504cef","http://digitalbuildingdata.tech/nlcs/def/a2ff8536-1227-4ddc-b7b8-f2e68208ad49"
"CONSTRUCTIEVE AFSCHEIDING_HEKWERK_SCHAPENHEKWERK_LAAG","*","_","**","_","IE","_","CONSTRUCTIEVE AFSCHEIDING","_","HEKWERK","_","SCHAPENHEKWERK","_","LAAG","_","","_","","'-","","'-","G","'-","","","*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_SCHAPENHEKWERK_LAAG","0.18","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","","","4440","4438","http://digitalbuildingdata.tech/nlcs/def/3cc748b2-3dea-48ea-a641-4ce83f6039f6","http://digitalbuildingdata.tech/nlcs/def/8d88a153-51a5-4155-8929-f88b4a3ac468"
"CONSTRUCTIEVE AFSCHEIDING_HEKWERK_SPIJLENHEKWERK_LAAG","*","_","**","_","IE","_","CONSTRUCTIEVE AFSCHEIDING","_","HEKWERK","_","SPIJLENHEKWERK","_","LAAG","_","","_","","'-","","'-","G","'-","","","*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_SPIJLENHEKWERK_LAAG","0.18","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","","","4443","4441","http://digitalbuildingdata.tech/nlcs/def/33aaac6d-48ff-43d4-9f5c-053900d0acce","http://digitalbuildingdata.tech/nlcs/def/839015ee-c0fa-44ec-9996-14b7d627c720"
"CONSTRUCTIEVE AFSCHEIDING_HEKWERK_LEUNHEKWERK_HOOG","*","_","**","_","IE","_","CONSTRUCTIEVE AFSCHEIDING","_","HEKWERK","_","LEUNHEKWERK","_","HOOG","_","","_","","'-","","'-","G","'-","","","*_**_IE_CONSTRUCTIEVE AFSCHEIDING_HEKWERK_LEUNHEKWERK_HOOG","0.18","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","V-IE-CONSTRUCTIEVE AFSCHEIDING-SO","0.35","30","32","30","30","253","IE-CONSTRUCTIEVE AFSCHEIDING-SO","","","4433","4432","http://digitalbuildingdata.tech/nlcs/def/8276696e-53aa-4200-881f-36c03b7677a7","http://digitalbuildingdata.tech/nlcs/def/a2ff8536-1227-4ddc-b7b8-f2e68208ad49"
